Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699359089.412,49.173,1800.0,40.0,8.4
1699359089.422,48.686,1800.0,25.0,8.4
1699359089.433,48.686,1800.0,25.0,8.4
1699359089.443,48.686,1800.0,25.0,8.4
1699359089.453,48.686,1800.0,25.0,8.4
1699359089.463,48.686,1800.0,25.0,8.4
1699359089.474,48.686,1800.0,20.0,8.4
1699359089.484,48.686,1800.0,25.0,8.4
1699359089.495,49.173,1800.0,25.0,8.4
1699359089.505,49.173,1800.0,25.0,8.4
1699359089.516,48.686,1800.0,25.0,8.4
1699359089.526,48.686,1800.0,25.0,8.4
1699359089.537,47.712,1800.0,25.0,8.4
1699359089.547,47.712,1800.0,25.0,8.4
1699359089.558,48.199,1800.0,25.0,8.4
1699359089.568,48.199,1800.0,40.0,8.4
1699359089.579,49.66,1800.0,0.0,8.4
1699359089.589,49.66,1800.0,33.3,8.4
1699359089.6,48.686,1800.0,0.0,8.4
1699359089.61,48.686,1800.0,25.0,8.4
1699359089.621,48.199,1800.0,25.0,8.4
1699359089.631,48.199,1800.0,25.0,8.4
1699359089.642,48.199,1800.0,25.0,8.4
1699359089.652,48.199,1800.0,25.0,8.4
1699359089.662,48.199,1800.0,25.0,8.4
1699359089.673,48.686,1800.0,40.0,8.4
1699359089.683,48.686,1800.0,25.0,8.4
1699359089.694,48.199,1800.0,20.0,8.4
1699359089.705,48.199,1800.0,40.0,8.4
1699359089.715,48.686,1800.0,25.0,8.4
1699359089.726,48.686,1800.0,25.0,8.4
1699359089.736,47.712,1800.0,25.0,8.4
1699359089.747,47.712,1800.0,25.0,8.4
1699359089.758,48.686,1800.0,25.0,8.4
1699359089.768,48.686,1800.0,25.0,8.4
1699359089.779,49.173,1800.0,20.0,8.4
1699359089.79,49.173,1800.0,25.0,8.4
1699359089.8,48.199,1800.0,25.0,8.4
1699359089.811,48.199,1800.0,25.0,8.4
1699359089.822,48.199,1800.0,25.0,8.4
1699359089.832,48.199,1800.0,25.0,8.4
1699359089.843,47.712,1800.0,25.0,8.4
1699359089.854,47.712,1800.0,33.3,8.4
1699359089.864,48.199,1800.0,25.0,8.4
1699359089.875,48.199,1800.0,25.0,8.4
1699359089.886,49.173,1800.0,25.0,8.4
1699359089.897,49.173,1800.0,25.0,8.4
1699359089.907,48.686,1800.0,25.0,8.4
1699359089.918,48.686,1800.0,20.0,8.4
1699359089.929,47.712,1800.0,25.0,8.4
1699359089.939,47.712,1800.0,40.0,8.4
1699359089.95,48.199,1800.0,0.0,8.4
1699359089.961,48.199,1800.0,40.0,8.4
1699359089.972,48.199,1800.0,0.0,8.4
1699359089.983,48.199,1800.0,25.0,8.4
1699359089.994,48.199,1800.0,25.0,8.4
1699359090.005,48.199,1800.0,40.0,8.4
1699359090.015,48.199,1800.0,25.0,8.4
1699359090.026,48.686,1800.0,25.0,8.4
1699359090.037,48.686,1800.0,20.0,8.4
1699359090.048,49.173,1800.0,25.0,8.4
1699359090.059,49.173,1800.0,0.0,8.4
1699359090.07,48.199,1800.0,40.0,8.4
1699359090.081,48.199,1800.0,33.3,8.4
1699359090.092,48.199,1800.0,25.0,8.4
1699359090.103,48.199,1800.0,0.0,8.4
