Temps,Temperature,Frequency,Cpu_usage,Cpu_memory
1699352793.407,47.225,1800.0,0.0,10.2
1699352793.91,47.225,1800.0,0.5,10.2
1699352794.412,47.712,1800.0,0.5,10.2
1699352794.914,46.738,1800.0,0.0,10.2
1699352795.417,47.712,1800.0,0.0,10.2
1699352795.919,46.251,1800.0,0.0,10.2
1699352796.421,45.764,1800.0,0.0,10.2
1699352796.924,46.251,1800.0,0.0,10.2
1699352797.43,46.251,600.0,0.5,10.2
1699352797.933,46.738,1800.0,11.0,9.7
1699352798.436,47.712,1800.0,34.8,10.2
1699352798.938,47.712,1800.0,3.5,10.3
1699352799.441,46.738,1800.0,0.0,10.3
1699352799.943,47.225,1800.0,0.0,10.3
1699352800.445,47.225,1800.0,0.0,10.3
1699352800.948,46.738,1800.0,0.0,10.3
1699352801.45,46.251,1800.0,0.0,10.3
1699352801.952,46.738,1800.0,0.5,10.3
1699352802.455,47.225,1800.0,0.0,10.3
1699352802.96,46.251,600.0,0.0,10.3
1699352803.465,47.225,600.0,0.0,10.3
1699352803.968,46.738,1800.0,22.5,10.0
1699352804.471,47.225,1800.0,25.5,10.3
1699352804.973,46.738,1800.0,0.5,10.3
1699352805.476,46.738,1800.0,0.0,10.3
1699352805.978,45.764,1800.0,0.0,10.3
1699352806.48,46.738,1800.0,0.0,10.3
1699352806.982,46.251,1800.0,0.0,10.3
1699352807.485,46.251,1800.0,0.0,10.3
1699352807.987,46.251,1800.0,0.0,10.3
1699352808.49,47.225,1800.0,0.5,10.3
1699352808.995,46.738,600.0,1.0,10.3
1699352809.503,46.251,700.0,4.0,9.9
1699352810.005,46.738,1800.0,25.4,10.1
1699352810.508,47.225,1800.0,18.9,10.2
1699352811.01,47.712,1800.0,0.0,10.2
1699352811.512,47.225,1800.0,0.0,10.2
1699352812.015,47.712,1800.0,0.0,10.2
1699352812.517,46.738,1800.0,0.0,10.2
1699352813.019,47.225,1800.0,0.0,10.2
1699352813.521,46.738,1800.0,0.5,10.2
1699352814.024,46.738,1800.0,1.0,10.2
1699352814.527,46.251,1800.0,0.0,10.2
1699352815.032,46.738,600.0,0.0,10.2
1699352815.535,47.712,1800.0,11.4,9.7
1699352816.037,47.712,1800.0,34.2,10.2
1699352816.54,47.225,1800.0,2.5,10.3
1699352817.042,47.225,1800.0,0.5,10.3
1699352817.544,46.251,1800.0,0.0,10.3
1699352818.047,46.738,1800.0,0.0,10.3
1699352818.549,46.738,1800.0,1.0,10.3
1699352819.051,46.738,1800.0,0.5,10.3
