Temps,Luminosite
1697148486,4095
1697148486,4095
1697148487,4095
1697148487,4095
1697148488,4095
1697148488,4095
1697148489,4095
1697148489,4095
1697148490,4095
1697148490,4095
1697148491,4095
1697148491,4095
1697148492,4095
1697148492,4095
1697148493,4095
1697148493,4095
1697148494,4095
1697148494,4095
1697148495,4095
1697148495,4095
1697148496,4095
1697148496,4095
1697148497,4095
1697148497,4095
1697148498,4095
1697148498,4095
1697148499,4095
1697148499,4095
1697148500,4095
1697148500,4095
1697148501,4095
1697148501,4095
1697148502,4095
1697148502,4095
1697148503,4095
1697148503,4095
1697148504,4095
1697148504,4095
1697148505,4095
1697148505,4095
1697148506,4095
1697148506,4095
1697148507,4095
1697148507,4095
1697148508,4095
1697148508,4095
1697148509,4095
1697148509,4095
1697148510,4095
1697148510,4095
1697148511,4095
1697148511,4095
1697148512,4095
1697148512,4095
1697148513,4095
1697148513,4095
1697148514,4095
1697148514,4095
1697148515,4095
1697148515,4095
1697148516,4095
1697148516,4095
1697148517,4095
1697148517,4095
1697148518,4095
1697148518,4095
1697148519,4095
1697148519,4095
1697148520,4095
1697148520,4095
1697148521,4095
1697148521,4095
1697148522,4095
1697148522,4095
1697148523,4095
1697148523,4095
1697148524,4095
1697148524,4095
1697148525,4095
1697148525,4095
1697148526,4095
1697148526,4095
1697148527,4095
1697148527,4095
1697148528,4095
1697148528,4095
1697148529,4095
1697148529,4095
1697148530,4095
1697148530,4095
1697148531,4095
1697148531,4095
1697148532,4095
1697148532,4095
1697148533,4095
1697148533,4095
1697148534,4095
1697148534,4095
1697148535,4095
1697148535,4095
1697148537,4095
1697148537,4095
1697148537,4095
1697148537,4095
1697148538,4095
1697148538,4095
1697148539,4095
1697148539,4095
1697148540,4095
1697148540,4095
1697148542,4095
1697148542,4095
1697148542,4095
1697148542,4095
1697148543,4095
1697148543,4095
1697148544,4095
1697148544,4095
1697148545,4095
1697148545,4095
1697148546,4095
1697148546,4095
1697148547,4095
1697148547,4095
1697148548,4095
1697148548,4095
1697148549,4095
1697148549,4095
1697148550,4095
1697148550,4095
1697148551,4095
1697148551,4095
1697148552,4095
1697148552,4095
1697148553,4095
1697148553,4095
1697148554,4095
1697148554,4095
1697148555,4095
1697148555,4095
1697148556,4095
1697148556,4095
1697148557,4095
1697148557,4095
1697148558,4095
1697148558,4095
1697148559,4095
1697148559,4095
1697148560,4095
1697148560,4095
1697148561,4095
1697148561,4095
1697148562,4095
1697148562,4095
1697148563,4095
1697148563,4095
1697148564,4095
1697148564,4095
1697148565,4095
1697148565,4095
1697148566,4095
1697148566,4095
1697148567,4095
1697148567,4095
1697148568,4095
1697148568,4095
1697148569,4095
1697148569,4095
1697148570,4095
1697148570,4095
1697148571,4095
1697148571,4095
1697148572,4095
1697148572,4095
1697148573,4095
1697148573,4095
1697148574,4095
1697148574,4095
1697148575,4095
1697148575,4095
1697148576,4095
1697148576,4095
1697148577,4095
1697148577,4095
1697148578,4095
1697148578,4095
1697148579,4095
1697148579,4095
1697148580,4095
1697148580,4095
1697148581,4095
1697148581,4095
1697148582,4095
1697148582,4095
1697148583,4095
1697148583,4095
1697148584,4095
1697148584,4095
1697148585,4095
1697148585,4095
1697148586,4095
1697148586,4095
1697148587,4095
1697148587,4095
1697148588,4095
1697148588,4095
1697148589,4095
1697148589,4095
1697148590,4095
1697148590,4095
1697148591,4095
1697148591,4095
1697148592,4095
1697148592,4095
1697148593,4095
1697148593,4095
1697148594,4095
1697148594,4095
1697148595,4095
1697148595,4095
1697148596,4095
1697148596,4095
1697148597,4095
1697148597,4095
1697148598,4095
1697148598,4095
1697148599,4095
1697148599,4095
1697148600,4095
1697148600,4095
1697148601,4095
1697148601,4095
1697148602,4095
1697148602,4095
1697148603,4095
1697148603,4095
1697148604,4095
1697148604,4095
1697148605,4095
1697148605,4095
1697148606,4095
1697148606,4095
1697148607,4095
1697148607,4095
1697148608,4095
1697148608,4095
1697148609,4095
1697148609,4095
1697148610,4095
1697148610,4095
1697148611,4095
1697148611,4095
1697148612,4095
1697148612,4095
1697148613,4095
1697148613,4095
1697148614,4095
1697148614,4095
1697148615,4095
1697148615,4095
1697148616,4095
1697148616,4095
1697148617,4095
1697148617,4095
1697148618,4095
1697148618,4095
1697148619,4095
1697148619,4095
1697148620,4095
1697148620,4095
1697148621,4095
1697148621,4095
1697148622,4095
1697148622,4095
1697148623,4095
1697148623,4095
1697148624,4095
1697148624,4095
1697148625,4095
1697148625,4095
1697148626,4095
1697148626,4095
1697148627,4095
1697148627,4095
1697148628,4095
1697148628,4095
1697148629,4095
