Temps,Delay
1697458443484.0,6
1697458448487.0,6
1697458453494.0,8
1697458458497.0,6
1697458463501.0,7
1697458468506.0,7
1697458473511.0,6
1697458478515.0,6
1697458483521.0,7
1697458488521.0,6
1697458493522.0,6
1697458498528.0,7
1697458503532.0,6
1697458508536.0,6
1697458513541.0,6
1697458518545.0,7
1697458523548.0,6
1697458528554.0,6
1697458533560.0,7
1697458538563.0,6
1697458543568.0,6
1697458548568.0,6
1697458553569.0,6
1697458558574.0,6
1697458563579.0,6
1697458568583.0,7
1697458573588.0,7
1697458578592.0,6
1697458583596.0,7
1697458588601.0,6
1697458593606.0,7
1697458598609.0,6
1697458603615.0,7
1697458608614.0,6
1697458613615.0,7
1697458618621.0,7
1697458623626.0,7
1697458628629.0,6
1697458633634.0,6
1697458638639.0,6
1697458643643.0,7
1697458648650.0,7
1697458653655.0,7
1697458658654.0,2
1697458663663.0,6
1697458668663.0,6
1697458673664.0,6
1697458678669.0,6
1697458683675.0,7
1697458688678.0,7
1697458693682.0,6
1697458698687.0,7
1697458703690.0,6
1697458708695.0,6
1697458713701.0,7
1697458718704.0,6
1697458723709.0,6
1697458728709.0,6
1697458733710.0,6
1697458738715.0,6
1697458743720.0,6
1697458748724.0,6
1697458753729.0,6
1697458758734.0,6
1697458763738.0,6
1697458768743.0,6
1697458773749.0,7
1697458778752.0,6
1697458783757.0,6
1697458788758.0,7
1697458793758.0,6
1697458798764.0,6
1697458803770.0,6
1697458808774.0,6
1697458813779.0,6
1697458818784.0,6
1697458823788.0,6
1697458828793.0,6
1697458833799.0,7
1697458838802.0,6
1697458843807.0,6
1697458848808.0,7
1697458853809.0,7
1697458858814.0,7
1697458863819.0,7
1697458868822.0,6
1697458873827.0,7
1697458878831.0,6
1697458883835.0,6
1697458888841.0,7
1697458893845.0,6
1697458898849.0,6
1697458903855.0,7
1697458908854.0,6
1697458913855.0,6
1697458918860.0,6
1697458923865.0,6
1697458928869.0,6
1697458933875.0,7
1697458938879.0,6
1697458943883.0,6
1697458948889.0,6
1697458953894.0,6
1697458958898.0,6
1697458963904.0,7
1697458968904.0,7
